Month_label;aktualne.cz;blesk.cz;denik.cz;expres.cz;extra.cz;idnes.cz;novinky.cz;sport.cz;super.cz
2025-05;1428,76140817;1715,26632216;961,25722351;519,53103934;934,60229355;3131,09343369;6468,45812384;3001,7390397;3144,05323832
2025-06;1451,11322096;1624,10150346;852,48033182;446,859249;839,01191251;3043,02260303;6586,22733941;2445,62526753;3034,91726229
2025-07;1390,43634761;1807,06241877;1022,1186272;426,33352392;1006,29569262;3082,35788954;6471,08988711;2664,3410402;3253,54846549
2025-08;1438,52315545;1713,50689504;1088,5054582;416,61450988;920,76267245;3029,47053367;6338,34271842;2712,47221255;3077,71168998
2025-09;1211,58813676;1592,27656285;828,07831873;338,89702045;665,9779993;2548,79368059;5776,96540748;2731,88595399;2851,80575864
2025-10;1462,04044974;1668,24099971;914,43068801;349,26411348;795,45788379;2817,69136011;6534,49262936;2960,50751884;3272,99932526
2025-11;1320,765216;1584,99363749;881,93700591;326,24703093;767,12935235;2629,55515798;5748,60035974;3023,55554048;3093,20443868
2025-12;1159,43117953;1631,89739979;911,08830283;394,31615799;941,37428663;2618,71879242;5297,98695197;2637,17007026;3066,19929167
2026-01;1308,86788818;1643,91673139;1004,18054492;370,59094124;932,68398959;2923,17057656;6353,07311146;3359,56829079;3320,15886885
2026-02;1239,36389772;1470,7444303;984,35203153;344,65907303;708,32508611;2705,68156925;5412,93472706;3145,76043284;2929,51659017
2026-03;1284,29590869;1482,73390992;1042,29539178;345,89819786;686,50932676;2809,15509101;6268,14017078;3002,63674316;3083,49885576
2026-04;1148,68818024;1484,21251934;921,5491226;371,91045976;693,14712944;2603,98932084;5543,76605151;2948,24888702;2870,74733596
