Metric;Real users;Views;Visits;Time [s];ATS [s];Reach;Audience share;Share of time;Time per view [s];Time per visit [s];Views share;Views per real user;Visits per real user
Real users;1,0;0,687;0,847;0,821;0,607;0,998;0,998;0,782;0,513;0,313;0,682;0,51;0,668
Views;0,687;1,0;0,838;0,879;0,837;0,683;0,683;0,87;0,238;0,596;0,994;0,949;0,807
Visits;0,847;0,838;1,0;0,965;0,896;0,842;0,842;0,937;0,668;0,434;0,833;0,701;0,941
Time [s];0,821;0,879;0,965;1,0;0,924;0,819;0,819;0,968;0,608;0,607;0,873;0,781;0,924
ATS [s];0,607;0,837;0,896;0,924;1,0;0,606;0,605;0,927;0,644;0,682;0,834;0,809;0,96
Reach;0,998;0,683;0,842;0,819;0,606;1,0;1,0;0,787;0,516;0,325;0,679;0,507;0,662
Audience share;0,998;0,683;0,842;0,819;0,605;1,0;1,0;0,787;0,516;0,325;0,679;0,507;0,661
Share of time;0,782;0,87;0,937;0,968;0,927;0,787;0,787;1,0;0,6;0,657;0,873;0,789;0,9
Time per view [s];0,513;0,238;0,668;0,608;0,644;0,516;0,516;0,6;1,0;0,254;0,238;0,14;0,696
Time per visit [s];0,313;0,596;0,434;0,607;0,682;0,325;0,325;0,657;0,254;1,0;0,605;0,698;0,502
Views share;0,682;0,994;0,833;0,873;0,834;0,679;0,679;0,873;0,238;0,605;1,0;0,947;0,801
Views per real user;0,51;0,949;0,701;0,781;0,809;0,507;0,507;0,789;0,14;0,698;0,947;1,0;0,732
Visits per real user;0,668;0,807;0,941;0,924;0,96;0,662;0,661;0,9;0,696;0,502;0,801;0,732;1,0
