Media channel;ATS [s]
aktualne.cz;1428,76140817
blesk.cz;1715,26632216
denik.cz;961,25722351
extra.cz;934,60229355
idnes.cz;3131,09343369
novinky.cz;6468,45812384
sport.cz;3001,7390397
super.cz;3144,05323832
aktualne.cz;1451,11322096
blesk.cz;1624,10150346
denik.cz;852,48033182
extra.cz;839,01191251
idnes.cz;3043,02260303
novinky.cz;6586,22733941
sport.cz;2445,62526753
super.cz;3034,91726229
aktualne.cz;1390,43634761
blesk.cz;1807,06241877
denik.cz;1022,1186272
extra.cz;1006,29569262
idnes.cz;3082,35788954
novinky.cz;6471,08988711
sport.cz;2664,3410402
super.cz;3253,54846549
aktualne.cz;1438,52315545
blesk.cz;1713,50689504
denik.cz;1088,5054582
extra.cz;920,76267245
idnes.cz;3029,47053367
novinky.cz;6338,34271842
sport.cz;2712,47221255
super.cz;3077,71168998
aktualne.cz;1211,58813676
blesk.cz;1592,27656285
denik.cz;828,07831873
extra.cz;665,9779993
idnes.cz;2548,79368059
novinky.cz;5776,96540748
sport.cz;2731,88595399
super.cz;2851,80575864
aktualne.cz;1462,04044974
blesk.cz;1668,24099971
denik.cz;914,43068801
extra.cz;795,45788379
idnes.cz;2817,69136011
novinky.cz;6534,49262936
sport.cz;2960,50751884
super.cz;3272,99932526
aktualne.cz;1320,765216
blesk.cz;1584,99363749
denik.cz;881,93700591
extra.cz;767,12935235
idnes.cz;2629,55515798
novinky.cz;5748,60035974
sport.cz;3023,55554048
super.cz;3093,20443868
aktualne.cz;1159,43117953
blesk.cz;1631,89739979
denik.cz;911,08830283
extra.cz;941,37428663
idnes.cz;2618,71879242
novinky.cz;5297,98695197
sport.cz;2637,17007026
super.cz;3066,19929167
aktualne.cz;1308,86788818
blesk.cz;1643,91673139
denik.cz;1004,18054492
extra.cz;932,68398959
idnes.cz;2923,17057656
novinky.cz;6353,07311146
sport.cz;3359,56829079
super.cz;3320,15886885
aktualne.cz;1239,36389772
blesk.cz;1470,7444303
denik.cz;984,35203153
extra.cz;708,32508611
idnes.cz;2705,68156925
novinky.cz;5412,93472706
sport.cz;3145,76043284
super.cz;2929,51659017
aktualne.cz;1284,29590869
blesk.cz;1482,73390992
denik.cz;1042,29539178
extra.cz;686,50932676
idnes.cz;2809,15509101
novinky.cz;6268,14017078
sport.cz;3002,63674316
super.cz;3083,49885576
aktualne.cz;1148,68818024
blesk.cz;1484,21251934
denik.cz;921,5491226
extra.cz;693,14712944
idnes.cz;2603,98932084
novinky.cz;5543,76605151
sport.cz;2948,24888702
super.cz;2870,74733596
expres.cz;519,53103934
expres.cz;446,859249
expres.cz;426,33352392
expres.cz;416,61450988
expres.cz;338,89702045
expres.cz;349,26411348
expres.cz;326,24703093
expres.cz;394,31615799
expres.cz;370,59094124
expres.cz;344,65907303
expres.cz;345,89819786
expres.cz;371,91045976
